통계연월,통계시도명,통계시군구명,장애유형,장애등급,등록장애인수
201812,서울특별시,종로구,지체,2급,146
201812,서울특별시,종로구,지체,6급,797
201812,서울특별시,종로구,지체,4급,604
201812,서울특별시,종로구,지체,1급,47
201812,서울특별시,종로구,지체,5급,853
201812,서울특별시,종로구,지체,3급,303
201812,서울특별시,종로구,시각,5급,62
201812,서울특별시,종로구,시각,1급,165
201812,서울특별시,종로구,시각,3급,26
201812,서울특별시,종로구,시각,2급,15
201812,서울특별시,종로구,시각,6급,425
201812,서울특별시,종로구,시각,4급,34
201812,서울특별시,종로구,청각,3급,97
201812,서울특별시,종로구,청각,5급,254
201812,서울특별시,종로구,청각,2급,112
201812,서울특별시,종로구,청각,6급,130
201812,서울특별시,종로구,청각,4급,181
201812,서울특별시,종로구,청각,1급,36
201812,서울특별시,종로구,언어,3급,14
201812,서울특별시,종로구,언어,2급,7
201812,서울특별시,종로구,언어,4급,21
201812,서울특별시,종로구,지적,3급,185
201812,서울특별시,종로구,지적,1급,76
201812,서울특별시,종로구,지적,2급,114
201812,서울특별시,종로구,뇌병변,3급,128
201812,서울특별시,종로구,뇌병변,1급,111
201812,서울특별시,종로구,뇌병변,4급,74
201812,서울특별시,종로구,뇌병변,2급,111
201812,서울특별시,종로구,뇌병변,6급,75
201812,서울특별시,종로구,뇌병변,5급,73
201812,서울특별시,종로구,자폐성,3급,25
201812,서울특별시,종로구,자폐성,2급,50
201812,서울특별시,종로구,자폐성,1급,34
201812,서울특별시,종로구,정신,1급,4
201812,서울특별시,종로구,정신,2급,59
201812,서울특별시,종로구,정신,3급,197
201812,서울특별시,종로구,신장,5급,55
201812,서울특별시,종로구,신장,4급,3
201812,서울특별시,종로구,신장,1급,16
201812,서울특별시,종로구,신장,2급,159
201812,서울특별시,종로구,심장,3급,10
201812,서울특별시,종로구,심장,2급,3
201812,서울특별시,종로구,심장,5급,3
201812,서울특별시,종로구,호흡기,2급,5
201812,서울특별시,종로구,호흡기,3급,16
201812,서울특별시,종로구,호흡기,1급,2
201812,서울특별시,종로구,간,1급,2
201812,서울특별시,종로구,간,5급,34
201812,서울특별시,종로구,간,2급,2
201812,서울특별시,종로구,간,4급,5
201812,서울특별시,종로구,안면,4급,2
201812,서울특별시,종로구,안면,3급,3
201812,서울특별시,종로구,안면,5급,1
201812,서울특별시,종로구,장루.요루,5급,12
201812,서울특별시,종로구,장루.요루,4급,17
201812,서울특별시,종로구,장루.요루,3급,5
201812,서울특별시,종로구,뇌전증,5급,5
201812,서울특별시,종로구,뇌전증,4급,9
201812,서울특별시,종로구,뇌전증,3급,1
201812,서울특별시,종로구,뇌전증,2급,2
201812,서울특별시,중구,지체,3급,319
201812,서울특별시,중구,지체,2급,124
201812,서울특별시,중구,지체,5급,769
201812,서울특별시,중구,지체,4급,567
201812,서울특별시,중구,지체,6급,814
201812,서울특별시,중구,지체,1급,58
201812,서울특별시,중구,시각,3급,32
201812,서울특별시,중구,시각,5급,44
201812,서울특별시,중구,시각,4급,37
201812,서울특별시,중구,시각,1급,149
201812,서울특별시,중구,시각,2급,15
201812,서울특별시,중구,시각,6급,450
201812,서울특별시,중구,청각,2급,116
201812,서울특별시,중구,청각,1급,7
201812,서울특별시,중구,청각,4급,185
201812,서울특별시,중구,청각,3급,84
201812,서울특별시,중구,청각,6급,109
201812,서울특별시,중구,청각,5급,234
201812,서울특별시,중구,언어,2급,1
