통계연월,통계시도명,통계시군구명,장애유형,장애등급,등록장애인수
201312,서울특별시,종로구,지체,1급,58
201312,서울특별시,종로구,시각,1급,190
201312,서울특별시,종로구,청각,1급,31
201312,서울특별시,종로구,지적,1급,85
201312,서울특별시,종로구,뇌병변,1급,157
201312,서울특별시,종로구,자폐성,1급,35
201312,서울특별시,종로구,정신,1급,4
201312,서울특별시,종로구,신장,1급,7
201312,서울특별시,종로구,호흡기,1급,4
201312,서울특별시,종로구,간,1급,3
201312,서울특별시,종로구,지체,2급,170
201312,서울특별시,종로구,시각,2급,24
201312,서울특별시,종로구,청각,2급,117
201312,서울특별시,종로구,언어,2급,3
201312,서울특별시,종로구,지적,2급,103
201312,서울특별시,종로구,뇌병변,2급,157
201312,서울특별시,종로구,자폐성,2급,26
201312,서울특별시,종로구,정신,2급,77
201312,서울특별시,종로구,신장,2급,182
201312,서울특별시,종로구,심장,2급,3
201312,서울특별시,종로구,호흡기,2급,5
201312,서울특별시,종로구,간,2급,1
201312,서울특별시,종로구,뇌전증,2급,2
201312,서울특별시,종로구,지체,3급,369
201312,서울특별시,종로구,시각,3급,34
201312,서울특별시,종로구,청각,3급,104
201312,서울특별시,종로구,언어,3급,22
201312,서울특별시,종로구,지적,3급,143
201312,서울특별시,종로구,뇌병변,3급,158
201312,서울특별시,종로구,자폐성,3급,14
201312,서울특별시,종로구,정신,3급,173
201312,서울특별시,종로구,심장,3급,16
201312,서울특별시,종로구,호흡기,3급,24
201312,서울특별시,종로구,간,3급,1
201312,서울특별시,종로구,안면,3급,2
201312,서울특별시,종로구,장루.요루,3급,2
201312,서울특별시,종로구,뇌전증,3급,2
201312,서울특별시,종로구,지체,4급,776
201312,서울특별시,종로구,시각,4급,47
201312,서울특별시,종로구,청각,4급,143
201312,서울특별시,종로구,언어,4급,33
201312,서울특별시,종로구,뇌병변,4급,99
201312,서울특별시,종로구,신장,4급,1
201312,서울특별시,종로구,간,4급,1
201312,서울특별시,종로구,안면,4급,2
201312,서울특별시,종로구,장루.요루,4급,15
201312,서울특별시,종로구,뇌전증,4급,10
201312,서울특별시,종로구,지체,5급,1053
201312,서울특별시,종로구,시각,5급,57
201312,서울특별시,종로구,청각,5급,143
201312,서울특별시,종로구,뇌병변,5급,78
201312,서울특별시,종로구,신장,5급,48
201312,서울특별시,종로구,심장,5급,4
201312,서울특별시,종로구,간,5급,33
201312,서울특별시,종로구,장루.요루,5급,22
201312,서울특별시,종로구,뇌전증,5급,1
201312,서울특별시,종로구,지체,6급,913
201312,서울특별시,종로구,시각,6급,465
201312,서울특별시,종로구,청각,6급,118
201312,서울특별시,종로구,뇌병변,6급,71
201312,서울특별시,중구,지체,1급,77
201312,서울특별시,중구,시각,1급,157
201312,서울특별시,중구,청각,1급,12
201312,서울특별시,중구,언어,1급,1
201312,서울특별시,중구,지적,1급,85
201312,서울특별시,중구,뇌병변,1급,133
201312,서울특별시,중구,자폐성,1급,28
201312,서울특별시,중구,정신,1급,9
201312,서울특별시,중구,신장,1급,10
201312,서울특별시,중구,심장,1급,1
201312,서울특별시,중구,호흡기,1급,4
201312,서울특별시,중구,간,1급,2
201312,서울특별시,중구,안면,1급,2
201312,서울특별시,중구,지체,2급,165
201312,서울특별시,중구,시각,2급,17
201312,서울특별시,중구,청각,2급,115
201312,서울특별시,중구,언어,2급,1
201312,서울특별시,중구,지적,2급,87
201312,서울특별시,중구,뇌병변,2급,154
201312,서울특별시,중구,자폐성,2급,8
201312,서울특별시,중구,정신,2급,61
201312,서울특별시,중구,신장,2급,149
201312,서울특별시,중구,심장,2급,3
201312,서울특별시,중구,호흡기,2급,10
