통계연월,통계시도명,통계시군구명,장애유형,장애등급,등록장애인수
201612,서울특별시,종로구,지체,1급,49
201612,서울특별시,종로구,시각,1급,164
201612,서울특별시,종로구,청각,1급,34
201612,서울특별시,종로구,언어,1급,1
201612,서울특별시,종로구,지적,1급,73
201612,서울특별시,종로구,뇌병변,1급,133
201612,서울특별시,종로구,자폐성,1급,30
201612,서울특별시,종로구,정신,1급,5
201612,서울특별시,종로구,신장,1급,12
201612,서울특별시,종로구,호흡기,1급,3
201612,서울특별시,종로구,간,1급,3
201612,서울특별시,종로구,지체,2급,140
201612,서울특별시,종로구,시각,2급,18
201612,서울특별시,종로구,청각,2급,102
201612,서울특별시,종로구,언어,2급,5
201612,서울특별시,종로구,지적,2급,121
201612,서울특별시,종로구,뇌병변,2급,125
201612,서울특별시,종로구,자폐성,2급,43
201612,서울특별시,종로구,정신,2급,65
201612,서울특별시,종로구,신장,2급,154
201612,서울특별시,종로구,심장,2급,2
201612,서울특별시,종로구,호흡기,2급,7
201612,서울특별시,종로구,간,2급,1
201612,서울특별시,종로구,뇌전증,2급,2
201612,서울특별시,종로구,지체,3급,316
201612,서울특별시,종로구,시각,3급,25
201612,서울특별시,종로구,청각,3급,91
201612,서울특별시,종로구,언어,3급,15
201612,서울특별시,종로구,지적,3급,172
201612,서울특별시,종로구,뇌병변,3급,131
201612,서울특별시,종로구,자폐성,3급,26
201612,서울특별시,종로구,정신,3급,191
201612,서울특별시,종로구,심장,3급,11
201612,서울특별시,종로구,호흡기,3급,19
201612,서울특별시,종로구,간,3급,1
201612,서울특별시,종로구,안면,3급,2
201612,서울특별시,종로구,장루.요루,3급,3
201612,서울특별시,종로구,뇌전증,3급,2
201612,서울특별시,종로구,지체,4급,659
201612,서울특별시,종로구,시각,4급,41
201612,서울특별시,종로구,청각,4급,149
201612,서울특별시,종로구,언어,4급,24
201612,서울특별시,종로구,뇌병변,4급,80
201612,서울특별시,종로구,신장,4급,2
201612,서울특별시,종로구,안면,4급,2
201612,서울특별시,종로구,장루.요루,4급,16
201612,서울특별시,종로구,뇌전증,4급,10
201612,서울특별시,종로구,지체,5급,919
201612,서울특별시,종로구,시각,5급,63
201612,서울특별시,종로구,청각,5급,162
201612,서울특별시,종로구,뇌병변,5급,66
201612,서울특별시,종로구,신장,5급,55
201612,서울특별시,종로구,심장,5급,6
201612,서울특별시,종로구,간,5급,29
201612,서울특별시,종로구,장루.요루,5급,16
201612,서울특별시,종로구,뇌전증,5급,3
201612,서울특별시,종로구,지체,6급,852
201612,서울특별시,종로구,시각,6급,438
201612,서울특별시,종로구,청각,6급,109
201612,서울특별시,종로구,뇌병변,6급,74
201612,서울특별시,중구,지체,1급,65
201612,서울특별시,중구,시각,1급,145
201612,서울특별시,중구,청각,1급,8
201612,서울특별시,중구,지적,1급,80
201612,서울특별시,중구,뇌병변,1급,124
201612,서울특별시,중구,자폐성,1급,29
201612,서울특별시,중구,정신,1급,4
201612,서울특별시,중구,신장,1급,11
201612,서울특별시,중구,심장,1급,1
201612,서울특별시,중구,호흡기,1급,4
201612,서울특별시,중구,간,1급,2
201612,서울특별시,중구,안면,1급,2
201612,서울특별시,중구,지체,2급,129
201612,서울특별시,중구,시각,2급,17
201612,서울특별시,중구,청각,2급,112
201612,서울특별시,중구,언어,2급,1
201612,서울특별시,중구,지적,2급,96
201612,서울특별시,중구,뇌병변,2급,131
201612,서울특별시,중구,자폐성,2급,9
201612,서울특별시,중구,정신,2급,56
201612,서울특별시,중구,신장,2급,159
201612,서울특별시,중구,심장,2급,2
201612,서울특별시,중구,호흡기,2급,9
201612,서울특별시,중구,간,2급,1
201612,서울특별시,중구,지체,3급,321
201612,서울특별시,중구,시각,3급,31
201612,서울특별시,중구,청각,3급,74
201612,서울특별시,중구,언어,3급,17
201612,서울특별시,중구,지적,3급,150
201612,서울특별시,중구,뇌병변,3급,107
201612,서울특별시,중구,자폐성,3급,13
