통계연월,통계시도명,통계시군구명,장애유형,장애정도,등록장애인수
201912,서울특별시,종로구,지체,심한 장애,470
201912,서울특별시,종로구,시각,심한 장애,191
201912,서울특별시,종로구,청각,심한 장애,229
201912,서울특별시,종로구,언어,심한 장애,20
201912,서울특별시,종로구,지적,심한 장애,396
201912,서울특별시,종로구,뇌병변,심한 장애,336
201912,서울특별시,종로구,자폐성,심한 장애,111
201912,서울특별시,종로구,정신,심한 장애,271
201912,서울특별시,종로구,신장,심한 장애,183
201912,서울특별시,종로구,심장,심한 장애,8
201912,서울특별시,종로구,호흡기,심한 장애,23
201912,서울특별시,종로구,간,심한 장애,4
201912,서울특별시,종로구,안면,심한 장애,3
201912,서울특별시,종로구,장루.요루,심한 장애,5
201912,서울특별시,종로구,뇌전증,심한 장애,5
201912,서울특별시,종로구,지체,심하지 않은 장애,2191
201912,서울특별시,종로구,시각,심하지 않은 장애,526
201912,서울특별시,종로구,청각,심하지 않은 장애,676
201912,서울특별시,종로구,언어,심하지 않은 장애,22
201912,서울특별시,종로구,뇌병변,심하지 않은 장애,238
201912,서울특별시,종로구,신장,심하지 않은 장애,68
201912,서울특별시,종로구,심장,심하지 않은 장애,3
201912,서울특별시,종로구,간,심하지 않은 장애,42
201912,서울특별시,종로구,안면,심하지 않은 장애,3
201912,서울특별시,종로구,장루.요루,심하지 않은 장애,29
201912,서울특별시,종로구,뇌전증,심하지 않은 장애,15
201912,서울특별시,중구,지체,심한 장애,487
201912,서울특별시,중구,시각,심한 장애,192
201912,서울특별시,중구,청각,심한 장애,202
201912,서울특별시,중구,언어,심한 장애,19
201912,서울특별시,중구,지적,심한 장애,304
201912,서울특별시,중구,뇌병변,심한 장애,324
201912,서울특별시,중구,자폐성,심한 장애,67
201912,서울특별시,중구,정신,심한 장애,220
201912,서울특별시,중구,신장,심한 장애,171
201912,서울특별시,중구,심장,심한 장애,12
201912,서울특별시,중구,호흡기,심한 장애,26
201912,서울특별시,중구,간,심한 장애,2
201912,서울특별시,중구,안면,심한 장애,4
201912,서울특별시,중구,장루.요루,심한 장애,2
201912,서울특별시,중구,뇌전증,심한 장애,4
201912,서울특별시,중구,지체,심하지 않은 장애,2126
201912,서울특별시,중구,시각,심하지 않은 장애,542
201912,서울특별시,중구,청각,심하지 않은 장애,607
