통계연월,통계시도명,통계시군구명,장애유형,장애등급,등록장애인수
201712,서울특별시,종로구,지체,1급,52
201712,서울특별시,종로구,시각,1급,158
201712,서울특별시,종로구,청각,1급,34
201712,서울특별시,종로구,언어,1급,1
201712,서울특별시,종로구,지적,1급,73
201712,서울특별시,종로구,뇌병변,1급,130
201712,서울특별시,종로구,자폐성,1급,32
201712,서울특별시,종로구,정신,1급,2
201712,서울특별시,종로구,신장,1급,12
201712,서울특별시,종로구,호흡기,1급,1
201712,서울특별시,종로구,간,1급,2
201712,서울특별시,종로구,지체,2급,145
201712,서울특별시,종로구,시각,2급,18
201712,서울특별시,종로구,청각,2급,110
201712,서울특별시,종로구,언어,2급,7
201712,서울특별시,종로구,지적,2급,123
201712,서울특별시,종로구,뇌병변,2급,117
201712,서울특별시,종로구,자폐성,2급,46
201712,서울특별시,종로구,정신,2급,68
201712,서울특별시,종로구,신장,2급,163
201712,서울특별시,종로구,심장,2급,4
201712,서울특별시,종로구,호흡기,2급,5
201712,서울특별시,종로구,간,2급,2
201712,서울특별시,종로구,뇌전증,2급,2
201712,서울특별시,종로구,지체,3급,308
201712,서울특별시,종로구,시각,3급,26
201712,서울특별시,종로구,청각,3급,95
201712,서울특별시,종로구,언어,3급,15
201712,서울특별시,종로구,지적,3급,176
201712,서울특별시,종로구,뇌병변,3급,133
201712,서울특별시,종로구,자폐성,3급,27
201712,서울특별시,종로구,정신,3급,193
201712,서울특별시,종로구,심장,3급,10
201712,서울특별시,종로구,호흡기,3급,17
201712,서울특별시,종로구,안면,3급,3
201712,서울특별시,종로구,장루.요루,3급,3
201712,서울특별시,종로구,뇌전증,3급,3
201712,서울특별시,종로구,지체,4급,627
201712,서울특별시,종로구,시각,4급,38
201712,서울특별시,종로구,청각,4급,163
201712,서울특별시,종로구,언어,4급,24
201712,서울특별시,종로구,뇌병변,4급,82
201712,서울특별시,종로구,신장,4급,3
201712,서울특별시,종로구,간,4급,2
201712,서울특별시,종로구,안면,4급,2
201712,서울특별시,종로구,장루.요루,4급,13
201712,서울특별시,종로구,뇌전증,4급,11
201712,서울특별시,종로구,지체,5급,888
201712,서울특별시,종로구,시각,5급,61
201712,서울특별시,종로구,청각,5급,191
201712,서울특별시,종로구,뇌병변,5급,76
201712,서울특별시,종로구,신장,5급,52
201712,서울특별시,종로구,심장,5급,4
