통계연월,통계시도명,통계시군구명,장애유형,장애정도,등록장애인수
202012,서울특별시,종로구,지체,심한 장애,448
202012,서울특별시,종로구,시각,심한 장애,193
202012,서울특별시,종로구,청각,심한 장애,220
202012,서울특별시,종로구,언어,심한 장애,21
202012,서울특별시,종로구,지적,심한 장애,394
202012,서울특별시,종로구,뇌병변,심한 장애,343
202012,서울특별시,종로구,자폐성,심한 장애,102
202012,서울특별시,종로구,정신,심한 장애,258
202012,서울특별시,종로구,신장,심한 장애,191
202012,서울특별시,종로구,심장,심한 장애,7
202012,서울특별시,종로구,호흡기,심한 장애,30
202012,서울특별시,종로구,간,심한 장애,4
202012,서울특별시,종로구,안면,심한 장애,3
202012,서울특별시,종로구,장루.요루,심한 장애,5
202012,서울특별시,종로구,뇌전증,심한 장애,4
202012,서울특별시,종로구,지체,심하지 않은 장애,2138
202012,서울특별시,종로구,시각,심하지 않은 장애,536
202012,서울특별시,종로구,청각,심하지 않은 장애,707
202012,서울특별시,종로구,언어,심하지 않은 장애,24
202012,서울특별시,종로구,뇌병변,심하지 않은 장애,239
202012,서울특별시,종로구,신장,심하지 않은 장애,65
202012,서울특별시,종로구,심장,심하지 않은 장애,2
202012,서울특별시,종로구,간,심하지 않은 장애,44
202012,서울특별시,종로구,안면,심하지 않은 장애,4
202012,서울특별시,종로구,장루.요루,심하지 않은 장애,26
202012,서울특별시,종로구,뇌전증,심하지 않은 장애,7
202012,서울특별시,중구,지체,심한 장애,479
202012,서울특별시,중구,시각,심한 장애,192
202012,서울특별시,중구,청각,심한 장애,195
202012,서울특별시,중구,언어,심한 장애,21
202012,서울특별시,중구,지적,심한 장애,296
202012,서울특별시,중구,뇌병변,심한 장애,307
202012,서울특별시,중구,자폐성,심한 장애,76
202012,서울특별시,중구,정신,심한 장애,218
202012,서울특별시,중구,신장,심한 장애,165
202012,서울특별시,중구,심장,심한 장애,13
202012,서울특별시,중구,호흡기,심한 장애,30
202012,서울특별시,중구,간,심한 장애,2
202012,서울특별시,중구,안면,심한 장애,4
202012,서울특별시,중구,장루.요루,심한 장애,6
202012,서울특별시,중구,뇌전증,심한 장애,4
202012,서울특별시,중구,지체,심하지 않은 장애,2091
202012,서울특별시,중구,시각,심하지 않은 장애,530
202012,서울특별시,중구,청각,심하지 않은 장애,647
202012,서울특별시,중구,언어,심하지 않은 장애,13
202012,서울특별시,중구,뇌병변,심하지 않은 장애,258
202012,서울특별시,중구,신장,심하지 않은 장애,58
202012,서울특별시,중구,심장,심하지 않은 장애,1
202012,서울특별시,중구,호흡기,심하지 않은 장애,1
202012,서울특별시,중구,간,심하지 않은 장애,37
202012,서울특별시,중구,안면,심하지 않은 장애,1
202012,서울특별시,중구,장루.요루,심하지 않은 장애,34
202012,서울특별시,중구,뇌전증,심하지 않은 장애,17
202012,서울특별시,용산구,지체,심한 장애,592
202012,서울특별시,용산구,시각,심한 장애,199
202012,서울특별시,용산구,청각,심한 장애,257
202012,서울특별시,용산구,언어,심한 장애,40
202012,서울특별시,용산구,지적,심한 장애,536
202012,서울특별시,용산구,뇌병변,심한 장애,447
202012,서울특별시,용산구,자폐성,심한 장애,121
202012,서울특별시,용산구,정신,심한 장애,292
202012,서울특별시,용산구,신장,심한 장애,262
202012,서울특별시,용산구,심장,심한 장애,18
202012,서울특별시,용산구,호흡기,심한 장애,47
202012,서울특별시,용산구,간,심한 장애,2
202012,서울특별시,용산구,안면,심한 장애,2
202012,서울특별시,용산구,장루.요루,심한 장애,8
202012,서울특별시,용산구,뇌전증,심한 장애,6
202012,서울특별시,용산구,지체,심하지 않은 장애,2849
202012,서울특별시,용산구,시각,심하지 않은 장애,768
202012,서울특별시,용산구,청각,심하지 않은 장애,903
202012,서울특별시,용산구,언어,심하지 않은 장애,31
202012,서울특별시,용산구,뇌병변,심하지 않은 장애,337
202012,서울특별시,용산구,신장,심하지 않은 장애,93
202012,서울특별시,용산구,심장,심하지 않은 장애,4
202012,서울특별시,용산구,간,심하지 않은 장애,68
202012,서울특별시,용산구,안면,심하지 않은 장애,4
202012,서울특별시,용산구,장루.요루,심하지 않은 장애,57
202012,서울특별시,용산구,뇌전증,심하지 않은 장애,17
202012,서울특별시,성동구,지체,심한 장애,858
202012,서울특별시,성동구,시각,심한 장애,208
202012,서울특별시,성동구,청각,심한 장애,365
202012,서울특별시,성동구,언어,심한 장애,51
202012,서울특별시,성동구,지적,심한 장애,700
202012,서울특별시,성동구,뇌병변,심한 장애,673
202012,서울특별시,성동구,자폐성,심한 장애,180
202012,서울특별시,성동구,정신,심한 장애,423
202012,서울특별시,성동구,신장,심한 장애,364
202012,서울특별시,성동구,심장,심한 장애,29
202012,서울특별시,성동구,호흡기,심한 장애,84
202012,서울특별시,성동구,간,심한 장애,3
202012,서울특별시,성동구,안면,심한 장애,5
202012,서울특별시,성동구,장루.요루,심한 장애,7
202012,서울특별시,성동구,뇌전증,심한 장애,11
202012,서울특별시,성동구,지체,심하지 않은 장애,4354
202012,서울특별시,성동구,시각,심하지 않은 장애,963
202012,서울특별시,성동구,청각,심하지 않은 장애,1260
202012,서울특별시,성동구,언어,심하지 않은 장애,55
202012,서울특별시,성동구,뇌병변,심하지 않은 장애,505
202012,서울특별시,성동구,신장,심하지 않은 장애,111
202012,서울특별시,성동구,심장,심하지 않은 장애,6
202012,서울특별시,성동구,호흡기,심하지 않은 장애,2
202012,서울특별시,성동구,간,심하지 않은 장애,76
202012,서울특별시,성동구,안면,심하지 않은 장애,7
202012,서울특별시,성동구,장루.요루,심하지 않은 장애,81
202012,서울특별시,성동구,뇌전증,심하지 않은 장애,31
202012,서울특별시,광진구,지체,심한 장애,951
202012,서울특별시,광진구,시각,심한 장애,228
202012,서울특별시,광진구,청각,심한 장애,360
202012,서울특별시,광진구,언어,심한 장애,50
202012,서울특별시,광진구,지적,심한 장애,812
202012,서울특별시,광진구,뇌병변,심한 장애,714
202012,서울특별시,광진구,자폐성,심한 장애,174
202012,서울특별시,광진구,정신,심한 장애,513
202012,서울특별시,광진구,신장,심한 장애,448
202012,서울특별시,광진구,심장,심한 장애,30
202012,서울특별시,광진구,호흡기,심한 장애,64
202012,서울특별시,광진구,간,심한 장애,8
202012,서울특별시,광진구,안면,심한 장애,6
202012,서울특별시,광진구,장루.요루,심한 장애,12
202012,서울특별시,광진구,뇌전증,심한 장애,9
202012,서울특별시,광진구,지체,심하지 않은 장애,4642
202012,서울특별시,광진구,시각,심하지 않은 장애,1088
202012,서울특별시,광진구,청각,심하지 않은 장애,1342
202012,서울특별시,광진구,언어,심하지 않은 장애,42
202012,서울특별시,광진구,뇌병변,심하지 않은 장애,505
202012,서울특별시,광진구,신장,심하지 않은 장애,152
202012,서울특별시,광진구,심장,심하지 않은 장애,7
202012,서울특별시,광진구,호흡기,심하지 않은 장애,1
202012,서울특별시,광진구,간,심하지 않은 장애,61
202012,서울특별시,광진구,안면,심하지 않은 장애,2
202012,서울특별시,광진구,장루.요루,심하지 않은 장애,97
202012,서울특별시,광진구,뇌전증,심하지 않은 장애,33
202012,서울특별시,동대문구,지체,심한 장애,1270
202012,서울특별시,동대문구,시각,심한 장애,276
202012,서울특별시,동대문구,청각,심한 장애,488
202012,서울특별시,동대문구,언어,심한 장애,79
202012,서울특별시,동대문구,지적,심한 장애,897
202012,서울특별시,동대문구,뇌병변,심한 장애,956
202012,서울특별시,동대문구,자폐성,심한 장애,159
202012,서울특별시,동대문구,정신,심한 장애,638
202012,서울특별시,동대문구,신장,심한 장애,492
202012,서울특별시,동대문구,심장,심한 장애,33
202012,서울특별시,동대문구,호흡기,심한 장애,82
202012,서울특별시,동대문구,간,심한 장애,10
202012,서울특별시,동대문구,안면,심한 장애,6
202012,서울특별시,동대문구,장루.요루,심한 장애,7
202012,서울특별시,동대문구,뇌전증,심한 장애,13
202012,서울특별시,동대문구,지체,심하지 않은 장애,5994
202012,서울특별시,동대문구,시각,심하지 않은 장애,1274
202012,서울특별시,동대문구,청각,심하지 않은 장애,1877
202012,서울특별시,동대문구,언어,심하지 않은 장애,61
202012,서울특별시,동대문구,뇌병변,심하지 않은 장애,673
202012,서울특별시,동대문구,신장,심하지 않은 장애,168
202012,서울특별시,동대문구,심장,심하지 않은 장애,3
202012,서울특별시,동대문구,호흡기,심하지 않은 장애,1
202012,서울특별시,동대문구,간,심하지 않은 장애,90
202012,서울특별시,동대문구,안면,심하지 않은 장애,13
