통계연월,통계시도명,통계시군구명,장애유형,장애등급,등록장애인수
201412,서울특별시,종로구,지체,1급,55
201412,서울특별시,종로구,시각,1급,184
201412,서울특별시,종로구,청각,1급,31
201412,서울특별시,종로구,지적,1급,78
201412,서울특별시,종로구,뇌병변,1급,150
201412,서울특별시,종로구,자폐성,1급,34
201412,서울특별시,종로구,정신,1급,5
201412,서울특별시,종로구,신장,1급,7
201412,서울특별시,종로구,호흡기,1급,2
201412,서울특별시,종로구,간,1급,4
201412,서울특별시,종로구,지체,2급,152
201412,서울특별시,종로구,시각,2급,19
201412,서울특별시,종로구,청각,2급,115
201412,서울특별시,종로구,언어,2급,3
201412,서울특별시,종로구,지적,2급,110
201412,서울특별시,종로구,뇌병변,2급,148
201412,서울특별시,종로구,자폐성,2급,34
201412,서울특별시,종로구,정신,2급,73
201412,서울특별시,종로구,신장,2급,159
201412,서울특별시,종로구,심장,2급,2
201412,서울특별시,종로구,호흡기,2급,5
201412,서울특별시,종로구,간,2급,1
201412,서울특별시,종로구,뇌전증,2급,2
201412,서울특별시,종로구,지체,3급,342
201412,서울특별시,종로구,시각,3급,29
201412,서울특별시,종로구,청각,3급,97
201412,서울특별시,종로구,언어,3급,21
201412,서울특별시,종로구,지적,3급,162
201412,서울특별시,종로구,뇌병변,3급,154
201412,서울특별시,종로구,자폐성,3급,18
201412,서울특별시,종로구,정신,3급,176
201412,서울특별시,종로구,심장,3급,16
201412,서울특별시,종로구,호흡기,3급,15
201412,서울특별시,종로구,간,3급,1
201412,서울특별시,종로구,안면,3급,2
201412,서울특별시,종로구,장루.요루,3급,3
201412,서울특별시,종로구,뇌전증,3급,1
201412,서울특별시,종로구,지체,4급,731
201412,서울특별시,종로구,시각,4급,41
201412,서울특별시,종로구,청각,4급,143
201412,서울특별시,종로구,언어,4급,28
201412,서울특별시,종로구,뇌병변,4급,93
201412,서울특별시,종로구,신장,4급,1
201412,서울특별시,종로구,간,4급,1
201412,서울특별시,종로구,안면,4급,2
201412,서울특별시,종로구,장루.요루,4급,17
201412,서울특별시,종로구,뇌전증,4급,8
201412,서울특별시,종로구,지체,5급,1012
201412,서울특별시,종로구,시각,5급,57
201412,서울특별시,종로구,청각,5급,148
201412,서울특별시,종로구,뇌병변,5급,76
201412,서울특별시,종로구,신장,5급,44
201412,서울특별시,종로구,심장,5급,5
201412,서울특별시,종로구,호흡기,5급,1
201412,서울특별시,종로구,간,5급,34
201412,서울특별시,종로구,장루.요루,5급,18
201412,서울특별시,종로구,뇌전증,5급,1
201412,서울특별시,종로구,지체,6급,889
201412,서울특별시,종로구,시각,6급,453
201412,서울특별시,종로구,청각,6급,116
201412,서울특별시,종로구,뇌병변,6급,73
201412,서울특별시,중구,지체,1급,69
201412,서울특별시,중구,시각,1급,151
201412,서울특별시,중구,청각,1급,10
201412,서울특별시,중구,언어,1급,1
201412,서울특별시,중구,지적,1급,81
201412,서울특별시,중구,뇌병변,1급,131
201412,서울특별시,중구,자폐성,1급,29
201412,서울특별시,중구,정신,1급,8
201412,서울특별시,중구,신장,1급,12
201412,서울특별시,중구,심장,1급,1
201412,서울특별시,중구,호흡기,1급,5
201412,서울특별시,중구,간,1급,3
201412,서울특별시,중구,안면,1급,2
201412,서울특별시,중구,지체,2급,154
201412,서울특별시,중구,시각,2급,17
201412,서울특별시,중구,청각,2급,112
201412,서울특별시,중구,언어,2급,1
201412,서울특별시,중구,지적,2급,91
201412,서울특별시,중구,뇌병변,2급,150
201412,서울특별시,중구,자폐성,2급,9
201412,서울특별시,중구,정신,2급,52
201412,서울특별시,중구,신장,2급,156
201412,서울특별시,중구,심장,2급,3
201412,서울특별시,중구,호흡기,2급,9
201412,서울특별시,중구,간,2급,1
201412,서울특별시,중구,지체,3급,343
201412,서울특별시,중구,시각,3급,26
201412,서울특별시,중구,청각,3급,81
201412,서울특별시,중구,언어,3급,16
201412,서울특별시,중구,지적,3급,149
201412,서울특별시,중구,뇌병변,3급,115
201412,서울특별시,중구,자폐성,3급,12
201412,서울특별시,중구,정신,3급,167
201412,서울특별시,중구,심장,3급,15
201412,서울특별시,중구,호흡기,3급,17
201412,서울특별시,중구,간,3급,1
201412,서울특별시,중구,안면,3급,3
201412,서울특별시,중구,장루.요루,3급,2
201412,서울특별시,중구,뇌전증,3급,6
201412,서울특별시,중구,지체,4급,680
201412,서울특별시,중구,시각,4급,39
201412,서울특별시,중구,청각,4급,140
201412,서울특별시,중구,언어,4급,14
201412,서울특별시,중구,뇌병변,4급,83
201412,서울특별시,중구,신장,4급,1
201412,서울특별시,중구,안면,4급,1
201412,서울특별시,중구,장루.요루,4급,22
201412,서울특별시,중구,뇌전증,4급,22
201412,서울특별시,중구,지체,5급,930
201412,서울특별시,중구,시각,5급,55
201412,서울특별시,중구,청각,5급,140
201412,서울특별시,중구,뇌병변,5급,78
201412,서울특별시,중구,신장,5급,27
201412,서울특별시,중구,심장,5급,1
201412,서울특별시,중구,호흡기,5급,1
201412,서울특별시,중구,간,5급,24
201412,서울특별시,중구,장루.요루,5급,15
201412,서울특별시,중구,뇌전증,5급,2
201412,서울특별시,중구,지체,6급,864
201412,서울특별시,중구,시각,6급,430
201412,서울특별시,중구,청각,6급,99
201412,서울특별시,중구,뇌병변,6급,75
201412,서울특별시,용산구,지체,1급,103
201412,서울특별시,용산구,시각,1급,153
201412,서울특별시,용산구,청각,1급,21
201412,서울특별시,용산구,언어,1급,1
201412,서울특별시,용산구,지적,1급,105
201412,서울특별시,용산구,뇌병변,1급,227
201412,서울특별시,용산구,자폐성,1급,36
201412,서울특별시,용산구,정신,1급,6
201412,서울특별시,용산구,신장,1급,15
201412,서울특별시,용산구,심장,1급,1
201412,서울특별시,용산구,호흡기,1급,11
201412,서울특별시,용산구,뇌전증,1급,1
201412,서울특별시,용산구,지체,2급,210
201412,서울특별시,용산구,시각,2급,15
201412,서울특별시,용산구,청각,2급,159
201412,서울특별시,용산구,언어,2급,7
201412,서울특별시,용산구,지적,2급,149
201412,서울특별시,용산구,뇌병변,2급,207
201412,서울특별시,용산구,자폐성,2급,29
201412,서울특별시,용산구,정신,2급,72
201412,서울특별시,용산구,신장,2급,223
201412,서울특별시,용산구,심장,2급,2
201412,서울특별시,용산구,호흡기,2급,12
201412,서울특별시,용산구,간,2급,5
201412,서울특별시,용산구,안면,2급,2
201412,서울특별시,용산구,뇌전증,2급,1
201412,서울특별시,용산구,지체,3급,469
201412,서울특별시,용산구,시각,3급,38
201412,서울특별시,용산구,청각,3급,134
201412,서울특별시,용산구,언어,3급,29
201412,서울특별시,용산구,지적,3급,227
201412,서울특별시,용산구,뇌병변,3급,198
201412,서울특별시,용산구,자폐성,3급,11
201412,서울특별시,용산구,정신,3급,227
201412,서울특별시,용산구,심장,3급,17
201412,서울특별시,용산구,호흡기,3급,29
201412,서울특별시,용산구,간,3급,2
201412,서울특별시,용산구,안면,3급,3
201412,서울특별시,용산구,장루.요루,3급,5
201412,서울특별시,용산구,뇌전증,3급,3
201412,서울특별시,용산구,지체,4급,948
201412,서울특별시,용산구,시각,4급,62
201412,서울특별시,용산구,청각,4급,216
201412,서울특별시,용산구,언어,4급,29
